
SIM_SERIAL_NO        ST ACTIVATIO
896019990095366027   EX          
896019990095366028   EX 15-JAN-20
896019990095366029   EX          
896019990095366030   EX          
896019990095366031   EX          
896019990095366032   EX 22-JAN-20
896019990095366033   EX          
896019990095366034   EX          
896019990095366035   EX          
896019990095366036   EX          
896019990095366037   EX          
896019990095366038   EX          
896019990095366039   EX          
896019990095366040   EX 25-JAN-20
896019990095366041   EX          
896019990095366042   EX 24-JAN-20
896019990095366043   EX 29-NOV-19
896019990095366044   EX 17-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366045   EX 19-NOV-19
896019990095366046   EX 23-JAN-20
896019990095366047   EX          
896019990095366048   EX 27-JAN-20
896019990095366049   EX 27-JAN-20
896019990095366050   EX          
896019990095366051   EX 18-NOV-19
896019990095366052   EX 14-DEC-19
896019990095366053   EX 07-DEC-19
896019990095366054   EX 07-DEC-19
896019990095366055   EX 30-NOV-19
896019990095366056   EX          
896019990095366057   EX 30-NOV-19
896019990095366058   EX 30-NOV-19
896019990095366059   EX 18-NOV-19
896019990095366060   EX 28-NOV-19
896019990095366061   EX 30-NOV-19
896019990095366062   EX 30-NOV-19
896019990095366063   EX 20-NOV-19
896019990095366064   EX 17-NOV-19
896019990095366065   EX 17-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366066   EX 17-NOV-19
896019990095366067   EX 17-NOV-19
896019990095366068   EX 16-DEC-19
896019990095366069   EX 20-NOV-19
896019990095366070   EX 01-DEC-19
896019990095366071   EX 17-NOV-19
896019990095366072   EX 21-NOV-19
896019990095366073   EX 21-NOV-19
896019990095366074   EX 22-NOV-19
896019990095366075   EX 16-NOV-19
896019990095366076   EX 25-NOV-19
896019990095366077   EX 01-DEC-19
896019990095366078   EX 25-NOV-19
896019990095366079   EX 22-NOV-19
896019990095366080   EX 16-NOV-19
896019990095366081   EX 25-NOV-19
896019990095366082   EX 25-NOV-19
896019990095366083   EX 25-NOV-19
896019990095366084   EX 20-NOV-19
896019990095366085   EX 06-DEC-19
896019990095366086   EX 06-DEC-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366087   EX 17-NOV-19
896019990095366088   EX 17-NOV-19
896019990095366089   EX 29-NOV-19
896019990095366090   EX 29-NOV-19
896019990095366091   EX 29-NOV-19
896019990095366092   EX 29-NOV-19
896019990095366093   EX 16-NOV-19
896019990095366094   EX 16-NOV-19
896019990095366095   EX 16-DEC-19
896019990095366096   EX 17-NOV-19
896019990095366097   EX 16-DEC-19
896019990095366098   EX 03-JAN-20
896019990095366099   EX 22-DEC-19
896019990095366100   EX 14-DEC-19
896019990095366101   EX 21-DEC-19
896019990095366102   EX 14-DEC-19
896019990095366103   EX 31-DEC-19
896019990095366104   EX 28-DEC-19
896019990095366105   EX 23-JAN-20
896019990095366106   EX 07-DEC-19
896019990095366107   EX 17-DEC-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366108   EX 05-JAN-20
896019990095366109   EX 05-JAN-20
896019990095366110   EX 26-DEC-19
896019990095366111   EX 28-DEC-19
896019990095366112   EX 31-DEC-19
896019990095366113   EX 05-JAN-20
896019990095366114   EX 30-DEC-19
896019990095366115   EX 30-DEC-19
896019990095366116   EX 02-JAN-20
896019990095366117   EX 14-JAN-20
896019990095366118   EX 03-FEB-20
896019990095366119   EX 24-JAN-20
896019990095366120   EX 10-JAN-20
896019990095366121   EX          
896019990095366122   EX 23-JAN-20
896019990095366123   EX 12-JAN-20
896019990095366124   EX 20-JAN-20
896019990095366125   EX 20-JAN-20
896019990095366126   EX          
896019990095366127   EX 23-JAN-20
896019990095366128   EX 23-JAN-20

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366129   EX 23-JAN-20
896019990095366130   EX 23-JAN-20
896019990095366131   EX 23-JAN-20
896019990095366132   EX 02-FEB-20
896019990095366133   EX 23-JAN-20
896019990095366134   EX 16-JAN-20
896019990095366135   EX 14-JAN-20
896019990095366136   EX 28-DEC-19
896019990095366137   EX 28-DEC-19
896019990095366138   EX 18-DEC-19
896019990095366139   EX 23-DEC-19
896019990095366140   EX 23-DEC-19
896019990095366141   EX 10-DEC-19
896019990095366142   EX 23-NOV-19
896019990095366143   EX 07-DEC-19
896019990095366144   EX 14-DEC-19
896019990095366145   EX 19-DEC-19
896019990095366146   EX          
896019990095366147   EX 19-OCT-19
896019990095366148   EX 19-OCT-19
896019990095366149   EX 19-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366150   EX 19-OCT-19
896019990095366151   EX 28-OCT-19
896019990095366152   EX 20-OCT-19
896019990095366153   EX 20-OCT-19
896019990095366154   EX 20-OCT-19
896019990095366155   EX 26-OCT-19
896019990095366156   EX 23-OCT-19
896019990095366157   EX 06-NOV-19
896019990095366158   EX 23-OCT-19
896019990095366159   EX 06-NOV-19
896019990095366160   EX 29-OCT-19
896019990095366161   EX 23-OCT-19
896019990095366162   EX 20-OCT-19
896019990095366163   EX 23-OCT-19
896019990095366164   EX 19-OCT-19
896019990095366165   EX 28-OCT-19
896019990095366166   EX 28-OCT-19
896019990095366167   EX 20-OCT-19
896019990095366168   EX 20-OCT-19
896019990095366169   EX 20-OCT-19
896019990095366170   EX 20-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366171   EX 21-OCT-19
896019990095366172   EX          
896019990095366173   EX 31-OCT-19
896019990095366174   EX 25-OCT-19
896019990095366175   EX 27-OCT-19
896019990095366176   EX 01-NOV-19
896019990095366177   EX 01-NOV-19
896019990095366178   EX 01-NOV-19
896019990095366179   EX          
896019990095366180   EX          
896019990095366181   EX 11-NOV-19
896019990095366182   EX          
896019990095366183   EX          
896019990095366184   EX 20-OCT-19
896019990095366185   EX 20-OCT-19
896019990095366186   EX 27-OCT-19
896019990095366187   EX 27-OCT-19
896019990095366188   EX 29-OCT-19
896019990095366189   EX 04-NOV-19
896019990095366190   EX 21-OCT-19
896019990095366191   EX 21-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366192   EX 21-OCT-19
896019990095366193   EX 21-OCT-19
896019990095366194   EX 21-OCT-19
896019990095366195   EX 21-OCT-19
896019990095366196   EX 21-OCT-19
896019990095366197   EX 21-OCT-19
896019990095366198   EX 22-OCT-19
896019990095366199   EX 02-NOV-19
896019990095366200   EX 02-NOV-19
896019990095366201   EX 22-OCT-19
896019990095366202   EX 17-OCT-19
896019990095366203   EX 20-OCT-19
896019990095366204   EX 20-OCT-19
896019990095366205   EX          
896019990095366206   EX 22-OCT-19
896019990095366207   EX 22-OCT-19
896019990095366208   EX 27-OCT-19
896019990095366209   EX 27-OCT-19
896019990095366210   EX 22-OCT-19
896019990095366211   EX 27-OCT-19
896019990095366212   EX 27-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366213   EX 23-OCT-19
896019990095366214   EX 23-OCT-19
896019990095366215   EX 23-OCT-19
896019990095366216   EX 23-OCT-19
896019990095366217   EX 23-OCT-19
896019990095366218   EX 23-OCT-19
896019990095366219   EX 23-OCT-19
896019990095366220   EX 23-OCT-19
896019990095366221   EX 23-OCT-19
896019990095366222   EX 23-OCT-19
896019990095366223   EX 23-OCT-19
896019990095366224   EX 23-OCT-19
896019990095366225   EX 23-OCT-19
896019990095366226   EX 23-OCT-19
896019990095366227   EX 23-OCT-19
896019990095366228   EX 23-OCT-19
896019990095366229   EX 23-OCT-19
896019990095366230   EX 23-OCT-19
896019990095366231   EX 23-OCT-19
896019990095366232   EX 23-OCT-19
896019990095366233   EX 19-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366234   EX 19-OCT-19
896019990095366235   EX 22-OCT-19
896019990095366236   EX 19-OCT-19
896019990095366237   EX 19-OCT-19
896019990095366238   EX          
896019990095366239   EX          
896019990095366240   EX          
896019990095366241   EX          
896019990095366242   EX          
896019990095366243   EX          
896019990095366244   EX          
896019990095366245   EX          
896019990095366246   EX          
896019990095366247   EX          
896019990095366248   EX          
896019990095366249   EX          
896019990095366250   EX          
896019990095366251   EX          
896019990095366252   EX          
896019990095366253   EX          
896019990095366254   EX 02-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366255   EX 02-NOV-19
896019990095366256   EX 01-NOV-19
896019990095366257   EX 01-NOV-19
896019990095366258   EX 01-NOV-19
896019990095366259   EX 01-NOV-19
896019990095366260   EX 13-NOV-19
896019990095366261   EX          
896019990095366262   EX 26-OCT-19
896019990095366263   EX          
896019990095366264   EX 21-OCT-19
896019990095366265   EX 02-NOV-19
896019990095366266   EX          
896019990095366267   EX 24-OCT-19
896019990095366268   EX 22-OCT-19
896019990095366269   EX 22-OCT-19
896019990095366270   EX 26-OCT-19
896019990095366271   EX 20-OCT-19
896019990095366272   EX 26-OCT-19
896019990095366273   EX 26-OCT-19
896019990095366274   EX 21-OCT-19
896019990095366275   EX 21-OCT-19

